       53516.158             NaN             NaN             NaN             NaN             NaN
       53518.830       23.000000       13.271189       9.7288111       5.2749000       14.844400
       53522.356       29.000000       14.138911       14.861089       9.7914000       20.600800
       53524.951       25.000000       16.676871       8.3231288       3.7616000       13.517500
       53527.637       19.000000       14.333809       4.6661907       1.0732000       8.7785000
       53530.288       23.000000       14.502862       8.4971382       4.0933000       13.546800
       53532.891       26.000000       15.706203       10.293797       5.5455000       15.701700
       53536.062       20.000000       13.176972       6.8230282       2.8125000       11.453800
       53539.482       32.000000       15.578140       16.421860       11.080700       22.432700
       53542.223       27.000000       12.984131       14.015869       9.1347000       19.567200
       53545.254       17.000000       12.789341       4.2106595      0.85690000       8.0735000
       53547.905       29.000000       16.152263       12.847737       7.7856000       18.577600
       53550.566       30.000000       25.028845       4.9711547      0.68370000       9.7105000
       53554.066       26.000000       12.315452       13.684548       8.9002000       19.139300
       53557.327       9.0000000       7.8198020       1.1801980       0.0000000       4.2728000
