       53516.158             NaN             NaN             NaN             NaN             NaN
       53518.830             NaN             NaN             NaN             NaN             NaN
       53522.356             NaN             NaN             NaN             NaN             NaN
       53524.951             NaN             NaN             NaN             NaN             NaN
       53527.637       7.0000000       3.0160127       3.9839873       1.6715000       6.9549000
       53530.288       8.0000000       2.9024072       5.0975928       2.5788000       8.2902000
       53532.891       7.0000000       3.3718497       3.6281503       1.3434000       6.5534000
       53536.062       4.0000000       1.5405693       2.4594307      0.78940000       4.7834000
       53539.482       1.0000000      0.68889671      0.31110329       0.0000000       1.9024000
       53542.223       8.0000000       1.5231811       6.4768189       3.9486000       9.6846000
       53545.254       11.000000       2.0466148       8.9533852       5.9411000       12.641800
       53547.905       7.0000000       2.4994700       4.5005300       2.1653000       7.5094000
       53550.566       9.0000000       3.0674539       5.9325461       3.2386000       9.3023000
       53554.066       10.000000       1.8814848       8.1185152       5.2594000       11.654700
       53557.327       5.0000000       1.6353367       3.3646633       1.4373000       5.9668000
